"Quantity","Name"
"1","Forest"
"1","Simic Guildgate"
"1","Island"
"1","Marwyn, the Nurturer"
"1","Nissa, Who Shakes the World"
"1","Exclusion Mage"
"1","Vines of Vastwood"
"1","Forest"
"1","Mulldrifter"
"1","Flux Channeler"
"1","Chart a Course"
"1","Negate"
"1","Chatter of the Squirrel"
"1","Forest"
"1","Hunting Triad"
"1","Forest"
"1","Island"
"4","Island"
"1","Forest"
"1","Siren Stormtamer"
"1","Palace Familiar"
"1","Forest"
"1","Fact or Fiction"
"1","Inventive Iteration // Living Breakthrough"
"1","Teferi's Time Twist"
"1","Woodland Champion"
"1","Ferocious Pup"
"1","Vineglimmer Snarl"
"1","Arasta of the Endless Web"
"1","Merfolk Skydiver"
"1","Forest"
"1","Island"
"1","Old-Growth Dryads"
"1","Untamed Kavu"
"1","Kairi, the Swirling Sky"
"1","Counterspell"
"1","Arbor Elf"
